date,confirmados,infirmados,aguardam,suspeitos,vigiados,mortos,recuperados,internados,uci
02/03/2020,2,,,85,,,,,
03/03/2020,5,,,101,,,,,
04/03/2020,6,,,117,,,,,
05/03/2020,9,,,167,,,,,
06/03/2020,13,,,181,,,,,
07/03/2020,21,,,224,,,,,
08/03/2020,30,,,281,,,,,
09/03/2020,39,,,339,,,,,
10/03/2020,41,,,375,,,,,
11/03/2020,59,,,471,,,,,
12/03/2020,78,426,133,637,4923,0,0,69,
13/03/2020,112,1024,172,1308,5674,0,0,107,
14/03/2020,169,1409,126,1704,5011,0,1,114,10
15/03/2020,245,1746,281,2271,4592,0,2,139,9
16/03/2020,331,2203,374,2908,4592,1,3,139,18
17/03/2020,448,3259,323,4030,6852,1,3,206,17
18/03/2020,642,4074,351,5067,6656,1,3,80,20
19/03/2020,785,4788,488,6061,8091,3,3,89,20
20/03/2020,1020,5862,850,7732,9008,6,3,126,26
21/03/2020,1280,7515,1059,9854,13155,12,5,156,35
22/03/2020,1600,9027,1152,11779,12562,14,5,169,41
23/03/2020,,,,,,,,,
24/03/2020,,,,,,,,,
25/03/2020,,,,,,,,,
26/03/2020,,,,,,,,,
27/03/2020,,,,,,,,,
28/03/2020,,,,,,,,,
29/03/2020,,,,,,,,,
30/03/2020,,,,,,,,,
31/03/2020,,,,,,,,,
01/04/2020,,,,,,,,,
02/04/2020,,,,,,,,,
03/04/2020,,,,,,,,,
04/04/2020,,,,,,,,,
05/04/2020,,,,,,,,,
06/04/2020,,,,,,,,,
07/04/2020,,,,,,,,,
08/04/2020,,,,,,,,,
09/04/2020,,,,,,,,,
10/04/2020,,,,,,,,,
11/04/2020,,,,,,,,,
12/04/2020,,,,,,,,,
13/04/2020,,,,,,,,,
14/04/2020,,,,,,,,,
15/04/2020,,,,,,,,,
16/04/2020,,,,,,,,,
